rocket_id,regime_label,theta_ddot_max,nom_sr,under_sr,over_sr,rise_time_best,tracking_rms_best,overshoot_best,rise_time_kp2,tracking_rms_kp2,overshoot_kp2,best_Kp,best_Kd,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s,static_margin
R0056,EASY,20.310174239498977,1.0,1.0,1.0,0.21000000000000005,84.61106833029724,30.74299565263514,1.3633333333333333,14.55382402969684,28.076936703686936,80.0,1.0,0.0242885927156982,1.1470017023606136,6.861366144446232,0.092571677696893,122.56955525945617,-0.2108030368518808
R0057,EASY,35.76688701449996,1.0,1.0,1.0,0.41666666666666674,13.065402122096897,15.493617360311129,1.241666666666667,13.10200618484364,24.333345172837795,15.0,1.0,0.0364210108438925,1.9712481512959716,10.57746694860994,0.3159781485511623,178.8287694201086,-0.1676521852822245
R0058,EASY,14.397245358890482,1.0,1.0,1.0,0.23166666666666677,53.121784284372346,30.978958635499243,1.366666666666667,11.90732317557971,21.901501284401235,80.0,1.0,0.0348789429740825,1.5353136203071824,5.212727721385445,0.4405796646164389,142.96437890049165,-0.0665848694385522
R0059,EASY,54.405887100132595,1.0,1.0,1.0,0.41500000000000004,12.008464127167201,16.227137322708895,1.1233333333333333,16.346685296267164,29.99894818561653,15.0,1.0,0.0206467570020018,1.7722369591658824,10.14065041793234,0.3285205482004559,66.38776211753,0.2719887067207525
R0060,EASY,5.952590668713053,1.0,1.0,1.0,0.36000000000000004,17.745624847157607,39.27988437348838,1.2916666666666667,11.508480369627335,21.15968156038946,40.0,1.0,0.0339876928923968,1.2769397984000752,2.522421801123817,0.2815762725996163,106.76557278595556,-0.2659955916707761
R0061,EASY,10.12615798202822,1.0,1.0,1.0,0.2666666666666668,50.60780401407978,101.41948681164104,1.1466666666666667,12.5645431252865,20.8007063306536,80.0,1.0,0.03290933430657,2.2731925735130005,2.3338223815491053,0.1714655310787476,117.9660647496636,-0.1047900780062455
R0062,EASY,55.97873631066339,1.0,1.0,1.0,0.20333333333333328,69.14685365826375,181.6881394101736,1.22,12.178719647896123,18.362197762046303,80.0,1.0,0.0344734918082819,2.092868251524929,14.840676507038738,0.4168581108917663,70.19786296244648,-0.2709740305206058
R0063,EASY,25.849944644763546,1.0,1.0,1.0,0.20333333333333337,24.286030570457154,56.26740352830666,1.2633333333333334,13.924151116664618,26.25525515075726,80.0,1.0,0.0357320679614412,1.700539551292097,8.67786395857907,0.3846616575702065,152.6360630110472,0.056467061291777
R0064,EASY,57.70566946336109,1.0,1.0,1.0,0.17833333333333332,51.598949703582804,120.97724590638046,1.185,18.77066878317662,37.96924329594675,80.0,1.0,0.0286384916767715,2.5741724405932334,10.272599624332631,0.1615936683995132,193.60534198987568,0.1369146532331545
R0065,EASY,16.0618746909443,1.0,1.0,1.0,0.22833333333333342,60.33339720499714,37.900389912033376,1.2983333333333336,13.335224933750766,26.087097309466913,80.0,1.0,0.037406736257123,1.064635353026433,9.019039974368232,0.1115917278852628,180.146675037506,-0.0379149878252823
