rocket_id,regime,theta_ddot,Iyy,keff_full,best_Kd,Kp,sr,rms_deg,slew_sat
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,80,0.7142857142857143,3.448666875649913,0.6221428571428571
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,101,1.0,3.544622723668033,0.6207142857142858
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,127,0.8571428571428571,4.652776758664631,0.6180952380952381
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,160,0.42857142857142855,6.8678349794206905,0.5966666666666667
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,202,0.42857142857142855,10.748432930273456,0.5590476190476191
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,254,0.14285714285714285,15.097154747189242,0.5185714285714286
R0961,EASY,99.52336968606491,0.019788809945065,9.81939103459751,1.0,320,0.0,62.18339593626049,0.4416666666666666
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,1,0.42857142857142855,8.615974448999435,0.6311904761904763
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,2,0.7142857142857143,7.355327923004326,0.633095238095238
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,3,0.8571428571428571,6.673536762922495,0.6307142857142857
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,4,1.0,6.041114380092447,0.6345238095238096
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,5,0.7142857142857143,6.180068893868548,0.6316666666666667
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,6,0.7142857142857143,5.398730707341479,0.6311904761904762
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,8,1.0,5.0651904579056675,0.6333333333333332
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,10,0.7142857142857143,4.804855341813819,0.6333333333333334
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,13,1.0,4.174419550843936,0.6311904761904763
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,16,1.0,3.60223837675333,0.6342857142857143
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,20,1.0,3.4134029340050906,0.632142857142857
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,25,1.0,2.6842717295322625,0.635
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,32,1.0,2.504730064966815,0.6304761904761904
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,40,1.0,2.882260833865286,0.6366666666666667
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,51,1.0,2.75942896247674,0.6307142857142857
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,64,1.0,2.8735504823202143,0.6335714285714286
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,80,1.0,3.066606383537884,0.6266666666666667
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,101,1.0,2.606931925114584,0.6233333333333333
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,127,0.7142857142857143,3.036685056099707,0.6214285714285713
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,160,0.42857142857142855,5.066104943823823,0.6223809523809524
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,202,0.14285714285714285,11.15562057634892,0.6071428571428571
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,254,0.0,26.813727764394034,0.5790476190476189
R1165,FRAGILE,105.81038873177735,0.0204002927299103,9.907373307121857,1.0,320,0.0,87.24595466147389,0.52
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,1,0.0,39.622079180442555,0.8626190476190476
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,2,0.14285714285714285,23.568662944997214,0.8695238095238095
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,3,0.2857142857142857,19.35861323528357,0.8595238095238095
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,4,0.5714285714285714,15.11343407741345,0.8611904761904762
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,5,0.42857142857142855,10.964988280021531,0.8614285714285714
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,6,0.42857142857142855,13.72206646370134,0.8616666666666666
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,8,0.7142857142857143,8.529661069039081,0.8604761904761904
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,10,0.5714285714285714,11.1887443927135,0.8592857142857143
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,13,0.8571428571428571,10.558544743296954,0.8619047619047617
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,16,0.8571428571428571,8.332297254152152,0.8623809523809525
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,20,0.5714285714285714,9.573117496080831,0.8621428571428572
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,25,0.8571428571428571,7.869017993478375,0.8661904761904761
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,32,0.5714285714285714,7.492801911425668,0.8630952380952381
R0504,FRAGILE,138.23414811429814,0.0171936037228453,11.851012200678332,2.0,40,0.7142857142857143,8.420467370486135,0.857857142857143
