rocket_id,keff,Pi,latency_steps,Kp_ceiling,kp_simple,kp_full,overtuned,false_rejection_v2,sr_simple_in_full,sr_full_in_full,wind_strength,label
R1419,1.9659886020092427,7.863954408036971,2,190.0,155.45,88.81,0,0,1.0,1.0,0.1547906398557506,EASY
R1420,2.2183702153533797,19.96533193818042,3,126.66666666666667,215.01,31.43,1,0,1.0,1.0,0.2080141832810284,EASY
R1421,4.325098284339546,155.70353823622366,6,63.333333333333336,7.42,70.18,0,0,1.0,1.0,0.2152192125926611,EASY
R1422,28.555548535187835,456.88877656300537,4,95.0,320.0,43.14,1,1,0.0,1.0,0.1770709400157005,EASY
R1423,1.049350483235129,4.197401932940516,2,190.0,6.31,46.78,0,0,1.0,1.0,0.3338723212865407,EASY
R1424,2.18526474538256,19.667382708443043,3,126.66666666666667,5.36,81.89,0,0,0.6666666666666666,1.0,0.4144756862332746,EASY
R1425,1.838369955162147,16.545329596459325,3,126.66666666666667,3.32,19.48,0,0,1.0,1.0,0.0645671212798333,EASY
R1426,6.043519698062014,151.08799245155035,5,76.0,2.42,81.89,0,0,1.0,1.0,0.0514598061501259,EASY
R1427,2.124752460358141,2.124752460358141,1,380.0,3.6,81.89,0,0,1.0,1.0,0.3374665786280056,EASY
R1428,2.5854736467419017,2.5854736467419017,1,380.0,3.32,81.89,0,0,1.0,1.0,0.0619846115738125,EASY
R1429,2.0601777174910096,8.240710869964039,2,190.0,31.43,8.66,0,0,0.6666666666666666,1.0,0.4000485458248101,EASY
R1430,6.3089589091003315,100.9433425456053,4,95.0,50.74,182.82,0,1,0.0,1.0,0.3761026948438256,EASY
R1431,0.8845775726822467,22.114439317056167,5,76.0,295.07,59.67,1,0,0.6666666666666666,1.0,0.4200205883313561,EASY
R1432,1.9852149894753366,17.86693490527803,3,126.66666666666667,46.78,6.84,0,0,1.0,1.0,0.2204248942500096,EASY
R1433,1.6988004420376557,15.2892039783389,3,126.66666666666667,3.6,81.89,0,0,1.0,1.0,0.2229769386456298,EASY
R1434,1.277406524947741,11.49665872452967,3,126.66666666666667,1.9,168.58,0,0,1.0,1.0,0.3812237635277296,EASY
R1435,1.9991357385335424,1.9991357385335424,1,380.0,3.32,81.89,0,0,1.0,1.0,0.0942613890133751,EASY
R1436,1.1444719155366743,4.577887662146697,2,190.0,59.67,168.58,0,0,1.0,1.0,0.2423602047417867,EASY
R1437,4.380316946715576,70.08507114744921,4,95.0,250.9,59.67,1,0,1.0,1.0,0.0954999538195972,EASY
R1438,3.9014235682279326,15.60569427291173,2,190.0,182.82,81.89,0,0,1.0,1.0,0.3935387492421833,EASY
R1439,13.632931534340694,340.82328835851735,5,76.0,43.14,88.81,0,0,1.0,0.6666666666666666,0.23776493672276,FRAGILE
R1440,1.1485460048245062,18.3767360771921,4,95.0,2.83,50.74,0,0,1.0,1.0,0.2578368290800588,EASY
R1441,18.73826122886677,168.64435105980093,3,126.66666666666667,26.73,81.89,0,1,0.3333333333333333,1.0,0.3411927501861044,EASY
R1442,1.6182705144586758,40.45676286146689,5,76.0,2.42,36.68,0,0,0.6666666666666666,1.0,0.2754061390559942,EASY
R1443,3.686422251902876,33.17780026712589,3,126.66666666666667,4.6,24.65,0,0,0.6666666666666666,1.0,0.2367126814316998,EASY
R1444,2.7419598702122627,24.677638831910365,3,126.66666666666667,215.01,59.67,1,0,1.0,1.0,0.1005247851550622,EASY
R1445,2.384845766107985,21.463611894971866,3,126.66666666666667,168.58,26.73,1,0,1.0,1.0,0.2712493504924693,EASY
R1446,7.493514360960369,29.974057443841478,2,190.0,320.0,59.67,1,0,1.0,1.0,0.1076597337460006,EASY
R1447,1.039854311905981,16.637668990495698,4,95.0,1.0,43.14,0,0,1.0,1.0,0.260724781591605,EASY
R1448,3.596975847297623,3.596975847297623,1,380.0,320.0,69.63,0,0,1.0,1.0,0.1240236609130129,EASY
R1449,0.7136819913083028,25.6925516870989,6,63.333333333333336,46.78,8.66,0,0,1.0,1.0,0.1111793657311153,EASY
R1450,32.758039892928444,294.822359036356,3,126.66666666666667,14.08,88.81,0,0,0.6666666666666666,1.0,0.057908294742152,EASY
R1451,1.0900731430253985,9.810658287228586,3,126.66666666666667,3.6,43.14,0,0,1.0,1.0,0.3267416044143227,EASY
R1452,11.662355126872662,291.55887817181656,5,76.0,10.18,24.65,0,0,1.0,1.0,0.3795104209134368,EASY
R1453,5.012115264428022,80.19384423084836,4,95.0,133.21,182.82,1,0,1.0,1.0,0.444136618234415,EASY
R1454,1.5216370956423981,24.34619353027837,4,95.0,11.97,88.81,0,0,1.0,1.0,0.2067347136820372,EASY
R1455,2.2275354930064872,8.910141972025949,2,190.0,46.78,81.89,0,0,1.0,1.0,0.377461651475645,EASY
R1456,0.932600009015248,8.393400081137232,3,126.66666666666667,1.0,46.78,0,0,0.6666666666666666,1.0,0.415142445156168,EASY
R1457,3.2163262340322163,115.78774442515979,6,63.333333333333336,295.07,70.18,1,0,1.0,1.0,0.1154313357546663,EASY
R1458,1.5731869735547843,6.292747894219137,2,190.0,5.36,81.89,0,0,1.0,1.0,0.3191503658264779,EASY
R1459,8.304967751604046,298.97883905774563,6,63.333333333333336,5.36,46.78,0,1,0.3333333333333333,1.0,0.2495563979982751,EASY
R1460,16.22343741797208,64.89374967188832,2,190.0,320.0,231.35,1,0,1.0,1.0,0.3753804146070303,EASY
R1461,1.2728620595956746,20.365792953530793,4,95.0,5.4,133.21,0,0,1.0,1.0,0.4172104122766442,EASY
R1462,2.832542879571378,25.492885916142402,3,126.66666666666667,3.32,50.74,0,0,1.0,1.0,0.3848553978212427,EASY
R1463,1.8690741242223086,46.726853105557716,5,76.0,320.0,88.81,1,0,1.0,1.0,0.248073367783581,EASY
R1464,5.7791634308795965,92.46661489407354,4,95.0,295.07,155.45,1,0,1.0,1.0,0.4412312835096137,EASY
R1465,1.1123725681575272,10.011353113417744,3,126.66666666666667,8.72,69.63,0,0,1.0,1.0,0.3426993222781443,EASY
R1466,2.3232694863798757,58.081737159496896,5,76.0,36.68,81.89,0,0,0.6666666666666666,1.0,0.1148469607222173,EASY
