rocket_id,regime_label,Kp_sweep,Kd,best_Kp_exp1,sr,rms_deg,peak_deg,Iyy,authority_inertia_ratio,static_margin,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s
R0011,EASY,30,1.0,80.0,1.0,1.1436884538657262,3.15740174709786,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,40,1.0,80.0,1.0,1.2457468226330253,3.164588817743687,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,60,1.0,80.0,1.0,0.959571773525999,2.6286441006742898,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,80,1.0,80.0,1.0,0.9174248338519593,2.8273246601572093,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,120,1.0,80.0,1.0,0.8228521191696675,2.486796017796273,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,160,1.0,80.0,1.0,1.3459730676438975,4.717737230055951,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,240,1.0,80.0,0.6,5.634259307367193,23.13899640617989,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0011,EASY,320,1.0,80.0,0.0,50.25543504860415,168.7319723725472,0.0247630887575616,920.8085073339179,0.0356772705404649,1.8042332879478655,12.638090067478291,0.2510418986634238,87.75706454397438
R0706,EASY,1,1.0,80.0,0.2,9.858076953437834,18.98998471064479,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,2,1.0,80.0,1.0,6.29791693533021,10.589016648147183,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,3,1.0,80.0,1.0,5.927887815852386,10.727300690680542,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,5,1.0,80.0,1.0,3.5418998542999667,7.416084579237513,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,8,1.0,80.0,1.0,3.867930837203198,8.869740990854627,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,12,1.0,80.0,1.0,3.8176237071977503,8.263807569561097,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,20,1.0,80.0,1.0,2.482275419165232,5.207078429537575,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,30,1.0,80.0,1.0,1.2858167850917215,2.8155031579062633,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,40,1.0,80.0,1.0,1.9396021370744492,4.9080343491209675,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,60,1.0,80.0,1.0,1.7186214260084487,4.39317826804444,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,80,1.0,80.0,1.0,1.8795593238564798,4.8992728005563535,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,120,1.0,80.0,1.0,1.838608697602964,5.352584265482762,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,160,1.0,80.0,1.0,2.378645502902665,8.265610778806264,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,240,1.0,80.0,0.8,3.2546200286622367,11.797743429202958,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0706,EASY,320,1.0,80.0,0.4,8.142296573656662,32.743989673858906,0.0107228073436975,1011.9973391845899,-0.2134844327411268,2.492740853550658,4.353221268449968,0.2923552869139085,175.95811604399736
R0311,EASY,1,1.0,80.0,0.6,7.0466730361086745,12.904270148223464,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
R0311,EASY,2,1.0,80.0,1.0,4.808055981568538,8.038437165746661,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
R0311,EASY,3,1.0,80.0,1.0,3.3234651265458455,5.436349705570846,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
R0311,EASY,5,1.0,80.0,1.0,2.1786970649275,3.9514623722888857,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
R0311,EASY,8,1.0,80.0,1.0,1.5833984986055483,3.0674258198711297,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
R0311,EASY,12,1.0,80.0,1.0,1.272069517625217,2.6068444130250588,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
R0311,EASY,20,1.0,80.0,1.0,1.186332092878693,2.714466754113462,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
R0311,EASY,30,1.0,80.0,1.0,1.2754310533424331,3.164794075062003,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
R0311,EASY,40,1.0,80.0,1.0,1.2952143295000156,3.09537126302631,0.0309801203849102,1089.5557785506894,0.14612334721506,2.5765176388594684,13.100849253458575,0.1986234525331819,105.25107225832332
