rocket_id,keff,lat,Pi_keff,td,kp,adrc,pd,h1,h2,h3,h4,h5
R1951,7.302,4,165.0,112.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,27.83,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,54.12,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,204.7,1.0,0.625,0.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,398.11,1.0,0.0,0.0,1.0,1.0,1.0,1.0
R1672,8.907,6,263.4,76.1,1.0,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R1672,8.907,6,263.4,76.1,1.94,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R1672,8.907,6,263.4,76.1,3.78,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R1672,8.907,6,263.4,76.1,7.36,1.0,1.0,1.0,0.375,0.375,0.375,0.375
R1672,8.907,6,263.4,76.1,14.31,1.0,1.0,0.125,0.375,0.375,0.375,0.375
R1672,8.907,6,263.4,76.1,27.83,1.0,1.0,0.0,0.375,0.375,0.375,0.375
R1672,8.907,6,263.4,76.1,54.12,1.0,1.0,0.0,0.375,0.375,0.375,0.625
R1672,8.907,6,263.4,76.1,105.25,1.0,1.0,0.0,0.375,0.375,0.625,1.0
R1672,8.907,6,263.4,76.1,204.7,1.0,0.0,0.0,0.375,0.625,1.0,1.0
R1672,8.907,6,263.4,76.1,398.11,1.0,0.0,0.0,0.5,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,27.83,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,54.12,1.0,1.0,0.0,1.0,1.0,1.0,1.0
