rocket_id,regime,wind_mult,sr,rms
R0353,EASY,1.5x,1.0,3.320824639306816
R0354,EASY,1.5x,0.6666666666666666,5.81196712876934
R0355,EASY,1.5x,1.0,2.7038339242786376
R0356,EASY,1.5x,1.0,7.495269628141966
R0357,EASY,1.5x,1.0,6.085149948626611
R0358,EASY,1.5x,1.0,2.02869318569312
R0359,EASY,1.5x,1.0,5.41236805485278
R0360,EASY,1.5x,1.0,5.629079583729528
R0361,EASY,1.5x,1.0,9.932116943127477
R0362,EASY,1.5x,1.0,3.3596859542419018
R0363,MARGINAL,1.5x,0.6666666666666666,7.088543991069561
R0364,EASY,1.5x,1.0,7.840249425411458
R0365,EASY,1.5x,1.0,2.1417901421648575
R0366,EASY,1.5x,1.0,3.528921992512025
R0367,EASY,1.5x,1.0,2.087510710297684
R0368,EASY,1.5x,1.0,1.1719760228260743
R0369,EASY,1.5x,1.0,2.3247616400952436
R0370,EASY,1.5x,1.0,4.79261674684986
R0371,EASY,1.5x,1.0,3.6808826542029056
R0372,EASY,1.5x,1.0,4.183213196119451
R0373,FRAGILE,1.5x,0.6666666666666666,9.794791874588618
R0374,EASY,1.5x,1.0,5.2765473162045335
R0375,EASY,1.5x,1.0,2.2743185364375518
R0376,EASY,1.5x,1.0,4.7867241003413294
R0377,EASY,1.5x,1.0,5.667647824721368
R0378,EASY,1.5x,1.0,3.933051553507975
R0379,EASY,1.5x,1.0,1.3327853157557616
R0380,EASY,1.5x,1.0,3.3495542852689013
R0381,EASY,1.5x,1.0,3.6510172215523546
R0382,EASY,1.5x,1.0,5.612220449267684
R0383,EASY,1.5x,1.0,3.2284246871085482
R0384,EASY,1.5x,1.0,4.255519265668042
R0385,EASY,1.5x,1.0,3.778873236845971
R0386,EASY,1.5x,0.6666666666666666,11.068600214162615
R0387,EASY,1.5x,1.0,2.767360902518915
R0388,EASY,1.5x,1.0,2.2746322314585306
R0389,EASY,1.5x,1.0,3.715385473405467
R0390,EASY,1.5x,1.0,1.764054317788731
R0391,EASY,1.5x,1.0,3.204786815676695
R0392,EASY,1.5x,1.0,3.4210461361496445
R0393,EASY,1.5x,1.0,7.240163825835185
R0394,EASY,1.5x,1.0,3.3425893856109887
R0395,EASY,1.5x,1.0,3.564158351385135
R0396,EASY,1.5x,1.0,4.796351942645955
R0397,EASY,1.5x,0.6666666666666666,7.703452901110808
R0398,EASY,1.5x,1.0,5.292789851253595
R0399,EASY,1.5x,1.0,2.3398949810781615
R0400,EASY,1.5x,1.0,4.1211281787929295
R0401,EASY,1.5x,1.0,1.7330041608157691
R0402,EASY,1.5x,1.0,3.675541664306747
R0403,EASY,1.5x,1.0,2.960799995074732
R0404,EASY,1.5x,0.6666666666666666,9.949143534285696
R0405,EASY,1.5x,0.3333333333333333,8.697631707891205
R0406,EASY,1.5x,1.0,3.9264956186941986
R0407,EASY,1.5x,1.0,2.0318825146090997
R0408,EASY,1.5x,1.0,3.300311495049748
R0409,EASY,1.5x,1.0,3.216798924051266
R0410,EASY,1.5x,1.0,3.8279469132119748
R0411,EASY,1.5x,1.0,6.3122445544722625
R0412,EASY,1.5x,1.0,3.253167126992224
R0413,EASY,1.5x,1.0,5.1034207337475666
R0414,EASY,1.5x,1.0,3.7972246141342345
R0415,EASY,1.5x,0.3333333333333333,9.187434185926785
R0416,EASY,1.5x,1.0,1.853371897122855
R0417,EASY,1.5x,1.0,5.302399106912631
R0418,EASY,1.5x,1.0,2.7931134862028855
R0419,EASY,1.5x,0.6666666666666666,6.940491051226046
R0420,MARGINAL,1.5x,1.0,7.246236114527936
R0421,EASY,1.5x,1.0,2.159723485890882
R0422,EASY,1.5x,1.0,5.083141975041536
R0423,EASY,1.5x,1.0,3.347206678942379
R0424,EASY,1.5x,1.0,2.9152878797550748
R0425,EASY,1.5x,1.0,1.6423563862574613
R0426,EASY,1.5x,1.0,3.279923128205081
R0427,EASY,1.5x,1.0,1.4447574743050737
R0428,EASY,1.5x,1.0,3.6967371007637726
R0429,EASY,1.5x,1.0,3.3958572414440975
R0430,FRAGILE,1.5x,0.3333333333333333,10.500735867778936
R0431,EASY,1.5x,1.0,2.959250577178581
R0432,EASY,1.5x,1.0,4.7967529580316155
R0433,EASY,1.5x,1.0,5.976983636669633
R0434,EASY,1.5x,1.0,2.4488503978617184
R0435,EASY,1.5x,1.0,4.732562992414874
R0436,EASY,1.5x,1.0,2.208538770031111
R0437,EASY,1.5x,1.0,4.019506371014452
R0438,EASY,1.5x,1.0,2.619967568028807
R0439,MARGINAL,1.5x,0.3333333333333333,11.166362743345502
R0440,EASY,1.5x,1.0,2.297977365517021
R0441,EASY,1.5x,0.6666666666666666,9.641656124081205
R0442,EASY,1.5x,1.0,4.745720548381889
R0443,EASY,1.5x,1.0,1.920659650560373
R0444,EASY,1.5x,1.0,4.424853863348621
R0445,EASY,1.5x,1.0,5.660861467965671
R0446,EASY,1.5x,1.0,3.3342793554766774
R0447,EASY,1.5x,1.0,5.311420485102021
R0448,EASY,1.5x,1.0,2.656192242390515
R0449,EASY,1.5x,1.0,4.573453089983992
R0450,EASY,1.5x,1.0,4.567962901242956
R0451,EASY,1.5x,1.0,2.170299898559007
R0452,EASY,1.5x,0.6666666666666666,6.041020177594252
R0453,EASY,1.5x,1.0,2.2717113558029762
R0454,EASY,1.5x,1.0,3.745460920060434
R0455,EASY,1.5x,1.0,2.9123034318599452
R0456,EASY,1.5x,1.0,2.743784140475905
R0457,EASY,1.5x,0.6666666666666666,8.860823850092281
R0458,EASY,1.5x,1.0,4.095308172241471
R0459,EASY,1.5x,1.0,1.693180252646716
R0460,EASY,1.5x,1.0,5.488785013018469
R0461,EASY,1.5x,1.0,3.806630014734169
R0462,EASY,1.5x,1.0,3.974457823001913
R0463,EASY,1.5x,1.0,2.3575326891455037
R0464,EASY,1.5x,1.0,1.9824388801552504
R0465,EASY,1.5x,1.0,3.2372519178011188
R0466,EASY,1.5x,1.0,2.46384991100474
R0467,EASY,1.5x,1.0,5.349058884092113
R0468,EASY,1.5x,1.0,1.0215241506346133
R0469,EASY,1.5x,1.0,3.545699040770311
R0470,EASY,1.5x,1.0,3.4471657414685004
R0471,EASY,1.5x,0.6666666666666666,5.984463580264446
R0472,EASY,1.5x,1.0,6.230988028798893
R0473,EASY,1.5x,1.0,4.4401381886626075
R0474,EASY,1.5x,1.0,2.794930629350406
R0475,EASY,1.5x,0.6666666666666666,7.866350175751535
R0476,EASY,1.5x,1.0,3.620080771258443
R0477,EASY,1.5x,1.0,2.099143163930336
R0478,EASY,1.5x,1.0,3.7138985838793466
R0479,EASY,1.5x,1.0,2.681211153765185
R0480,EASY,1.5x,1.0,3.166434114238721
