lambda_s,Kp,Kd,sr,rocket_id,td,keff,latency,final_label
1.0,155.3132164353244,155.3132164353244,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,212.89180277662857,212.89180277662857,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,291.81624545362695,291.81624545362695,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,400.0000000000001,400.0000000000001,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,1.0,0.5,1.0,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,1.3707256063767186,0.6853628031883593,1.0,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,1.8788886879768232,0.9394443439884116,1.0,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,2.575440836141388,1.287720418070694,1.0,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,3.5302227018072676,1.7651113509036338,1.0,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,4.838966653579624,2.419483326789812,1.0,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,6.632895500464652,3.316447750232326,0.9,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,9.091879706907822,4.545939853453911,0.9,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,12.462472324355405,6.231236162177702,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,17.082629933755133,8.541314966877566,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,23.41559827445559,11.707799137227795,0.9,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,32.09636014342679,16.048180071713396,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,43.99530272008423,21.997651360042116,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,60.30548799871475,30.152743999357376,0.9,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,82.66227660488225,41.331138302441126,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,113.30729922370725,56.65364961185362,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,155.3132164353244,77.6566082176622,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
2.0,212.89180277662857,106.44590138831428,0.9,R1077,18.881205143659184,2.700559646677496,3,EASY
