rocket_id,final_label,td,keff,latency_steps,kp_simple,kp_full,Kp_floor,Kp_ceiling,window_ratio,Kp_miss,Kp_miss_fraction,miss_type,gain_ok,sr_simple_in_full,sr_full_in_full,false_rejection_v2
R0510,EASY,10.436326944290618,1.7550589875681124,2,155.45,96.31,0.2125874774623125,190.0,893.7497272560807,0.0,0.0,inside,True,1.0,1.0,0
R0511,EASY,3.7535445307647306,2.282454418287876,3,59.67,113.27,0.4152989012100959,126.66666666666667,305.0012082805564,0.0,0.0,inside,True,1.0,1.0,0
R0512,EASY,14.659790923975471,1.3685394629684031,1,22.73,113.27,0.08369900060278845,380.0,4540.07810443725,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0513,EASY,6.437919521659844,1.301033918023994,2,4.56,50.74,0.15474064070999352,190.0,1227.8610139406599,0.0,0.0,inside,True,1.0,1.0,0
R0514,EASY,12.57585614614112,1.950391249835393,3,3.6,5.4,0.3514918875563888,126.66666666666667,360.36867748859754,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0515,EASY,5.6721374271913625,0.7355116452238,2,3.6,50.74,0.08448812694983349,190.0,2248.8366929097183,0.0,0.0,inside,True,1.0,1.0,0
R0516,EASY,21.897097852267528,2.1622184373611812,5,50.74,70.18,0.6416331214748919,76.0,118.4477506792392,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0517,EASY,4.2461026563686,0.9354872761104979,3,88.81,11.97,0.16120085308788898,126.66666666666667,785.7692080426287,0.0,0.0,inside,True,1.0,1.0,0
R0518,EASY,14.540703480592402,1.537416257408692,4,3.6,88.81,0.3603485931466818,95.0,263.6336086965927,0.0,0.0,inside,True,1.0,1.0,0
R0519,EASY,14.909406374210562,1.6852647482501726,1,22.73,81.89,0.10438693430744257,380.0,3640.30232826664,0.0,0.0,inside,True,1.0,1.0,0
R0520,EASY,3.9802611524671296,2.312445066268829,4,26.73,113.27,0.5556698888697614,95.0,170.96481544686725,0.0,0.0,inside,True,1.0,1.0,0
R0521,EASY,6.8734569714110165,0.6467874638113251,1,26.73,5.36,0.037789339512079106,380.0,10055.746009493909,0.0,0.0,inside,True,1.0,1.0,0
