cell_id,regime_label,regime_code,robustness,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,max_ang_accel_deg_s2,rise_time_s,settling_time_s,overshoot_pct,peak_att_rate_deg_s,control_effort_usage,actuator_sat_frac,slew_sat_frac,success_like_rate,rms_err_deg,peak_err_deg,end_err_deg,n_trials,rise_reached_frac,settled_frac,bounded_window_s,boundary_slew_deg_s,slew_margin_to_boundary,agility_index
56,INFEASIBLE,0,0,2,30,15,1,45,24,193.033010597439,1.04,NaN,148.762146146084,127.681349768261,0.938722945583488,0.875249500998004,1,0,78.1036786378172,90,90,2,1,0,1.3525,NaN,NaN,-1.26219936905144
57,FRAGILE,1,0.666666666666667,2,45,8,0.533333333333333,60,8,163.096068320287,0.49,NaN,73.8951023957397,85.8808606034239,0.977729922634086,0.956087824351297,1,0,90,90,90,2,0.5,0,0.6475,NaN,NaN,1.40138240999043
58,FRAGILE,1,0.666666666666667,2,45,10,0.666666666666667,60,8,163.096068320287,0.49,NaN,73.8951023957397,85.8808606034239,0.972073421411242,0.945109780439122,1,0,90,90,90,2,0.5,0,0.6475,NaN,NaN,1.40138240999043
59,FRAGILE,1,0.666666666666667,2,45,12,0.8,60,8,163.096068320287,0.49,NaN,73.8951023957397,85.8808606034239,0.966166619535219,0.931137724550898,1,0,90,90,90,2,0.5,0,0.6475,NaN,NaN,1.40138240999043
60,FRAGILE,1,0.666666666666667,2,45,15,1,60,8,163.096068320287,0.49,NaN,73.8951023957397,85.8808606034239,0.957173442821563,0.913173652694611,1,0,90,90,90,2,0.5,0,0.6475,NaN,NaN,1.40138240999043
61,INFEASIBLE,0,0.666666666666667,2,60,8,0.533333333333333,45,4,274.412908696384,0.4425,NaN,149.290187614405,151.214351792782,0.963562827926604,0.925149700598802,1,0,90,90,90,2,1,0,0.71,NaN,NaN,0.472669809579448
62,INFEASIBLE,0,0.666666666666667,2,60,10,0.666666666666667,45,4,274.412908696384,0.4425,NaN,149.290187614405,151.214351792782,0.953830447108769,0.905189620758483,1,0,90,90,90,2,1,0,0.71,NaN,NaN,0.472669809579448
63,INFEASIBLE,0,0.666666666666667,2,60,12,0.8,45,4,274.412908696384,0.4425,NaN,149.290187614405,151.214351792782,0.943795006844331,0.884231536926148,1,0,90,90,90,2,1,0,0.71,NaN,NaN,0.472669809579448
64,INFEASIBLE,0,0.666666666666667,2,60,15,1,45,4,274.412908696384,0.4425,NaN,149.290187614405,151.214351792782,0.927689840325935,0.845309381237525,1,0,90,90,90,2,1,0,0.71,NaN,NaN,0.472669809579448
65,INFEASIBLE,0,0,2,75,8,0.533333333333333,10,24,224.822423950369,2.315,NaN,58.6000863411433,74.3672155468877,0.843799244952365,0.698602794411178,1,0,15.3091299996375,24.0874034077577,11.7200172682287,2,1,0,2.5,NaN,NaN,-1.09747291551424
66,INFEASIBLE,0,0,2,75,10,0.666666666666667,10,24,224.822423950369,2.315,NaN,58.6000863411433,74.3672155468877,0.805757757418445,0.615768463073852,1,0,15.3091299996375,24.0874034077577,11.7200172682287,2,1,0,2.5,NaN,NaN,-1.09747291551424
67,INFEASIBLE,0,0,2,75,12,0.8,10,24,224.822423950369,2.315,NaN,58.6000863411433,74.3672155468877,0.764557575425209,0.51497005988024,1,0,15.3091299996375,24.0874034077577,11.7200172682287,2,1,0,2.5,NaN,NaN,-1.09747291551424
