rocket_id,group_type,td,keff,Iyy,best_Kp_exp1,lat_natural,wind_natural,wind,latency,kp_floor,kp_ceil,window_ratio,collapsed
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.12,6,8,8,1.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.22,1,1,320,320.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.22,3,2,270,135.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.22,6,5,60,12.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.32,1,1,320,320.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.32,3,2,190,95.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.32,6,5,60,12.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.42,1,1,320,320.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.42,3,1,190,190.0,False
R1648,EASY,213.67197467696982,17.8146626316146,0.0127395659467984,26.73,4,0.3391225453944487,0.42,6,8,60,7.5,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.05,1,3,320,106.66666666666667,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.05,3,3,190,63.333333333333336,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.05,6,8,27,3.375,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.12,1,3,320,106.66666666666667,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.12,3,2,190,95.0,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.12,6,8,60,7.5,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.22,1,3,320,106.66666666666667,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.22,3,5,190,38.0,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.22,6,8,40,5.0,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.32,1,3,320,106.66666666666667,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.32,3,2,190,95.0,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.32,6,18,18,1.0,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.42,1,2,320,160.0,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.42,3,3,190,63.333333333333336,False
R1715,EASY,170.13315758703897,25.566546778741852,0.0080459545353752,36.97,6,0.282825644425026,0.42,6,8,40,5.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.05,1,3,320,106.66666666666667,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.05,3,2,270,135.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.05,6,3,40,13.333333333333334,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.12,1,2,320,160.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.12,3,1,320,320.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.12,6,2,60,30.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.22,1,3,320,106.66666666666667,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.22,3,1,270,270.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.22,6,5,40,8.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.32,1,3,320,106.66666666666667,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.32,3,3,190,63.333333333333336,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.32,6,5,40,8.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.42,1,2,320,160.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.42,3,1,190,190.0,False
R2258,FRAGILE,128.366289768419,19.69405899490668,0.0115749044339551,88.81,5,0.2489576982801131,0.42,6,8,60,7.5,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.05,1,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.05,3,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.05,6,3,90,30.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.12,1,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.12,3,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.12,6,5,60,12.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.22,1,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.22,3,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.22,6,2,60,30.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.32,1,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.32,3,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.32,6,5,60,12.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.42,1,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.42,3,1,320,320.0,False
R2293,FRAGILE,97.64136106659637,9.048495250636451,0.0132990107208713,36.68,6,0.2511695984871513,0.42,6,5,60,12.0,False
