rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,final_label,nom_sr,sr_full_in_full_v2,sr_gap_v2,full_go_v2,simple_go,false_approval_v2,false_rejection_v2
R0045,45,EASY,320.0,4.0,36.68,1.0,0.3333333333333333,1.0,0.6666666666666667,0,1,0,0,1,4.826722491786981,1.697561870129504,-3.129160621657477,6.44094073929713,0.7260152815298829,0.0107216302408114,0.2797444188638782,-85.94113831695225,10.32445238875566,1.252348855446666,94.04956201578707,5.833664006315404,6,0.0670548853920607,0.2113102297716269,0.1014468676082934,EASY,,1.0,0.6666666666666667,1,0,0,1
R0046,46,EASY,43.14,16.0,36.97,1.0,1.0,1.0,0.0,1,1,1,0,0,3.569611146354195,0.4767703297683982,-3.092840816585797,0.3327382674916879,0.5630511657635221,0.0643617355605711,0.03915463712262,-35.704032945026896,9.176812609278253,1.5866981627941346,190.5401283525705,14.009171203051515,6,0.1353197303878293,0.0052681241918291,0.266374600709758,EASY,,1.0,0.0,1,1,0,0
R0047,47,EASY,36.68,16.0,70.18,1.0,1.0,1.0,0.0,1,1,1,0,0,7.301844233265993,0.6936751906248707,-6.608169042641123,1.4128621043171712,0.7305756902977687,0.0968810881720102,0.1227687157126457,-61.34907173118111,8.113439718202754,2.554410723416144,90.68027142495303,10.912045586961018,3,0.0084802864924886,0.0717615881988314,0.2803050953636992,EASY,,1.0,0.0,1,1,0,0
R0048,48,EASY,31.43,4.0,24.65,1.0,0.6666666666666666,1.0,0.3333333333333333,1,1,1,0,0,6.74547824669007,2.1824687411319474,-4.563009505558123,0.0,1.0564720578944242,0.0068797170421831,-0.273615932557313,-66.14762823950402,7.961923371739211,2.265313293129397,68.9831199950248,13.628830356794625,3,0.0251051946945915,0.1284905309402321,0.4164483035241951,EASY,1.0,1.0,0.33333333333333337,1,1,0,0
R0049,49,EASY,22.73,4.0,50.74,1.0,1.0,1.0,0.0,1,1,1,0,0,2.024616795637646,0.4591580521540359,-1.56545874348361,2.392350204829276,0.683826197060096,0.0727515966471869,0.1953870840160045,-37.57376087416748,11.271943978955845,0.8464677056402405,178.04138495805068,8.442815968140543,4,0.1486737472281397,0.0519503591769577,0.1162788247992098,EASY,,1.0,0.0,1,1,0,0
R0050,50,EASY,2.4,4.0,70.18,1.0,1.0,1.0,0.0,1,1,1,0,0,7.818251345359857,0.702796193719838,-7.11545515164002,0.3906608155678576,1.0656919019621471,0.0574482218921383,0.086838971469314,-20.214589898397463,11.206718780866373,1.8149237016347328,115.7047204648998,9.22301410198256,6,0.0020159468830682,0.0507820031161721,0.2511279188786505,EASY,,1.0,0.0,1,1,0,0
R0051,51,EASY,320.0,4.0,24.65,1.0,0.3333333333333333,1.0,0.6666666666666667,0,1,0,0,1,3.6393454959434366,1.335215695664454,-2.3041298002789827,0.0286651015472369,0.7065032204405517,0.0330960208916232,0.0087757897311799,-15.845075301129867,10.916458509293491,2.115207260527612,62.74386286803942,4.481313837462912,4,0.0144258530518341,0.2135391302879003,0.3704075598090738,EASY,,1.0,0.6666666666666667,1,0,0,1
R0052,52,EASY,50.74,16.0,70.18,1.0,1.0,1.0,0.0,1,1,1,0,0,4.807609619478262,0.6349322846324928,-4.172677334845769,0.0,1.1933390179291528,0.0423327584315313,-0.0933467150853439,-22.48227275856337,11.279863565996608,1.3599995460457777,110.83607189179682,5.839781467300888,5,0.0114419335842304,0.092083098951826,0.0783737808881569,EASY,,1.0,0.0,1,1,0,0
R0053,53,EASY,43.14,16.0,69.63,1.0,1.0,1.0,0.0,1,1,1,0,0,2.637007941307225,0.6168443235929546,-2.0201636177142706,0.0,0.6864220622542594,0.029085872355736,-0.1268001694446941,-23.56086929502161,13.717490725983396,1.264980386269083,123.35429388371908,9.4225990815616,5,0.0628031580109025,0.1591880041535998,0.133966921661021,EASY,,1.0,0.0,1,1,0,0
R0054,54,EASY,8.72,4.0,43.14,1.0,1.0,1.0,0.0,1,1,1,0,0,3.5004094445894283,0.621448733487167,-2.8789607111022613,1.527298481046867,0.7022307546800982,0.0790428702149153,0.2444765507897575,-21.54820018111306,5.522483886990226,1.0694178962772698,141.49728324482567,14.536878403372734,4,0.0733310018140271,0.1282741238917693,0.1487020940058647,EASY,,1.0,0.0,1,1,0,0
