rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength
R0048,48,EASY,320.0,1.0,113.27,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,4.888455866278216,1.1439597274350104,-3.744496138843205,2.2320055673187915,1.7404441998158755,0.010320193695275126,0.24923486788729338,-35.02181842892531,9.769223672969282,1.3746853421158505,178.16034266299795,8.893160031154208,4,0.03005549560181258,0.24866012869127702,0.44333312782291473
R0049,49,EASY,36.97,4.0,22.73,1.0,1.0,1.0,0.0,1,1,1,0,0,3.2799949629009357,0.7981708682433036,-2.481824094657632,0.0,1.5992459163220936,0.01740638122491866,-0.25783327354025265,-46.38847896937958,8.852072820734275,2.0657904128060265,174.55147966830077,6.077003176778091,2,0.08815750853746557,0.21169966058774387,0.0606286245207561
R0050,50,EASY,295.07,4.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,1.9462786784230133,0.6817349769869531,-1.26454370143606,0.6553550817234773,1.603444685266219,0.028417248133917147,0.1661895902728152,-18.29903787657595,6.917786767314627,1.935573504861365,106.84139008541348,11.739960915428563,4,0.02217732853211844,0.20721115235540258,0.3536907514097016
R0051,51,EASY,81.89,16.0,132.17,1.0,1.0,1.0,0.0,1,1,1,0,0,5.784941627783449,0.7511008081345011,-5.033840819648948,0.0,1.512372868258123,0.017501015078988717,-0.23861361435757467,-40.76885701419791,8.101307564248934,1.4985817332514175,111.92756570482715,14.283275338111762,4,0.08564995413007108,0.18289412961508067,0.08243099565103512
R0052,52,EASY,50.74,16.0,168.58,1.0,0.3333333333333333,1.0,0.6666666666666667,0,1,0,0,1,18.145396574223508,0.9594691546965844,-17.185927419526923,0.0,1.4503411821828185,0.022074023645086496,-0.15750745869252492,-39.38582745798148,5.802428621945684,2.2758692835858523,184.6743643062837,13.771997839140045,4,0.06723017792680437,0.09271978963988357,0.4110676949086619
R0053,53,EASY,36.68,4.0,168.58,1.0,1.0,1.0,0.0,1,1,1,0,0,4.887382848092164,0.5126481359174527,-4.374734712174711,2.261391406488958,1.3464369868291268,0.014985703516731806,0.1430767261432676,-55.63040449801382,13.113097652369067,1.1135502349209077,179.1164328897239,9.26366019273972,4,0.1241509600728666,0.1462367802108835,0.32085044963337433
R0054,54,EASY,24.65,4.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,4.932597015788592,0.7433762174162196,-4.189220798372372,0.0,1.148063055751048,0.027684329193667978,-0.012152692533308862,-22.986048151252803,13.698514375624779,2.911794145037917,88.83266343797493,3.16692908694202,5,0.060938536432750434,0.03714382579292699,0.3724142361580191
R0055,55,EASY,295.07,4.0,132.17,1.0,1.0,1.0,0.0,1,1,1,0,0,1.7923761141424503,0.44296194319938254,-1.3494141709430678,2.4160546043403057,1.3824937650610294,0.01790254964304612,0.28161994248323846,-32.575248794698766,7.647147230138415,1.2959482745607547,139.42695791099763,12.9325526830097,3,0.1029399031481537,0.20768974564981021,0.19196674300118344
R0056,56,EASY,213.33,16.0,69.63,1.0,1.0,1.0,0.0,1,1,1,0,0,1.6471988934116795,0.5186459500549429,-1.1285529433567367,0.0,1.6725705085697213,0.024288592715698228,-0.2108030368518808,-72.35843127775547,11.36849939410789,1.1470017023606136,122.56955525945617,6.861366144446232,4,0.0094543040014592,0.17658510831978894,0.09257167769689309
R0057,57,EASY,250.9,64.0,24.65,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,8.179293407721481,0.496762175087148,-7.682531232634333,0.0,1.603802685055925,0.0364210108438925,-0.16765218528222456,-66.58065591792962,11.287215725083907,1.9712481512959714,178.8287694201086,10.57746694860994,3,0.1294764246260698,0.15797978052264655,0.3159781485511623
