cell_id,regime,rank,factor,importance_pct,success_recovery,rms_recovery_deg,s2r_reduction,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,tuned_Kp,tuned_Kd
38,FRAGILE,2,sensor_noise,13.5740579841036,0.166666666666667,2.24939184730132,0.018456276576077,3,90,10,0.666666666666667,10,32
38,FRAGILE,3,thrust_mismatch,8.38307428522284,0.166666666666667,-1.44117716564558,-0.0264843316694399,3,90,10,0.666666666666667,10,32
39,INFEASIBLE,1,backlash,95.3247722060729,0.5,8.76904076722834,0.327271907931226,0,30,8,0.533333333333333,20,32
39,INFEASIBLE,2,aero_mismatch,4.67522779392706,-0.166666666666667,1.0079920440693,0.00776552967276756,0,30,8,0.533333333333333,20,32
39,INFEASIBLE,3,deadband,0,-0.166666666666667,-2.22904969017404,-0.0232963579219818,0,30,8,0.533333333333333,20,32
40,INFEASIBLE,1,backlash,94.2848971537082,0.833333333333333,55.2326540771469,0.224326354224441,4,90,15,1,10,16
40,INFEASIBLE,2,aero_mismatch,5.60527555744419,-0.166666666666667,9.50645375882711,0.00582432057681648,4,90,15,1,10,16
40,INFEASIBLE,3,deadband,0.109827288847637,-0.166666666666667,0.196118810215367,-0.0341100480680347,4,90,15,1,10,16
41,INFEASIBLE,1,backlash,78.7087710322611,0.666666666666667,14.4621163108524,0.210103300055463,1,20,15,1,10,32
41,INFEASIBLE,2,deadband,15.6502436879559,0.166666666666667,2.36314701455968,0.0174692641893142,1,20,15,1,10,32
41,INFEASIBLE,3,aero_mismatch,5.64098527978305,0,2.25270239890694,0.0271766962469957,1,20,15,1,10,32
42,INFEASIBLE,1,backlash,91.3494552799268,0.166666666666667,6.05455080428476,0.273626594564615,2,75,10,0.666666666666667,10,32
42,INFEASIBLE,2,aero_mismatch,4.26934329562931,-0.5,0.484156314841516,0.00360695137733424,2,75,10,0.666666666666667,10,32
42,INFEASIBLE,3,deadband,2.84067289302646,-0.166666666666667,0.345479650801728,-0.000418515437234035,2,75,10,0.666666666666667,10,32
43,INFEASIBLE,1,backlash,97.740489423427,1,47.173245935502,0.316447587354409,3,45,12,0.8,20,32
43,INFEASIBLE,2,aero_mismatch,2.259510576573,0,3.76221365337472,-0.000278239970419758,3,45,12,0.8,20,32
43,INFEASIBLE,3,deadband,0,0,-8.47935756507799,-0.0341118968386024,3,45,12,0.8,20,32
44,INFEASIBLE,1,backlash,93.0872222983789,0.833333333333333,55.2326540771469,0.306134451839527,4,90,8,0.533333333333333,10,16
44,INFEASIBLE,2,aero_mismatch,6.80693247830736,-0.166666666666667,9.50645375882711,0.0404887687188019,4,90,8,0.533333333333333,10,16
44,INFEASIBLE,3,deadband,0.105845223313797,-0.166666666666667,0.196118810215367,-0.0199669532261048,4,90,8,0.533333333333333,10,16
45,INFEASIBLE,1,backlash,91.7549377430838,0.5,9.50659193423546,0.116426557589203,2,60,15,1,10,16
45,INFEASIBLE,2,aero_mismatch,5.93084168369905,-0.166666666666667,1.42740558481933,-0.00305116472545752,2,60,15,1,10,16
45,INFEASIBLE,3,sensor_noise,1.2497300172274,-0.5,-0.340575286774307,0.0161118044000741,2,60,15,1,10,16
46,INFEASIBLE,1,backlash,80.0201035833836,0.666666666666667,14.4621163108524,0.275827093732668,1,20,10,0.666666666666667,10,32
46,INFEASIBLE,2,deadband,15.0663319873572,0.166666666666667,2.36314701455968,0.00734724533185438,1,20,10,0.666666666666667,10,32
46,INFEASIBLE,3,aero_mismatch,4.91356442925918,0,2.25270239890694,0.0127562858199297,1,20,10,0.666666666666667,10,32
47,INFEASIBLE,1,backlash,94.9584481643436,0.5,8.76904076722834,0.266678452579035,0,30,12,0.8,20,32
47,INFEASIBLE,2,aero_mismatch,5.04155183565639,-0.166666666666667,1.0079920440693,0.0122025790349418,0,30,12,0.8,20,32
47,INFEASIBLE,3,deadband,0,-0.166666666666667,-2.22904969017404,-0.0370234793862081,0,30,12,0.8,20,32
48,INFEASIBLE,1,backlash,97.7652239254518,1,47.173245935502,0.370385468663339,3,45,8,0.533333333333333,20,32
48,INFEASIBLE,2,aero_mismatch,2.23477607454818,0,3.76221365337472,-0.00124884451839535,3,45,8,0.533333333333333,20,32
48,INFEASIBLE,3,deadband,0,0,-8.47935756507799,-0.029952163061564,3,45,8,0.533333333333333,20,32
49,INFEASIBLE,1,backlash,94.3659332332141,0.833333333333333,55.2326540771469,0.239024080236643,4,90,12,0.8,10,16
49,INFEASIBLE,2,aero_mismatch,5.52467382332348,-0.166666666666667,9.50645375882711,0.00471505823627294,4,90,12,0.8,10,16
49,INFEASIBLE,3,deadband,0.109392943462412,-0.166666666666667,0.196118810215367,-0.042984146792383,4,90,12,0.8,10,16
50,INFEASIBLE,1,backlash,94.824987781599,0.5,8.76904076722834,0.213711175818081,0,30,15,1,20,32
50,INFEASIBLE,2,aero_mismatch,5.17501221840102,-0.166666666666667,1.0079920440693,0.011786605657238,0,30,15,1,20,32
50,INFEASIBLE,3,deadband,0,-0.166666666666667,-2.22904969017404,-0.0454816047328526,0,30,15,1,20,32
51,INFEASIBLE,1,backlash,95.324578081529,0.5,8.76904076722834,0.291359539656129,0,30,10,0.666666666666667,20,32
51,INFEASIBLE,2,aero_mismatch,4.67542191847097,-0.166666666666667,1.0079920440693,0.00637895174708825,0,30,10,0.666666666666667,20,32
51,INFEASIBLE,3,deadband,0,-0.166666666666667,-2.22904969017404,-0.0316158254760583,0,30,10,0.666666666666667,20,32
52,INFEASIBLE,1,backlash,80.5088272220757,0.666666666666667,14.4621163108524,0.297596367165835,1,20,8,0.533333333333333,10,32
52,INFEASIBLE,2,deadband,14.8407317299527,0.166666666666667,2.36314701455968,0.00207824921427258,1,20,8,0.533333333333333,10,32
52,INFEASIBLE,3,aero_mismatch,4.65044104797164,0,2.25270239890694,0.00651668515437231,1,20,8,0.533333333333333,10,32
53,INFEASIBLE,1,backlash,79.688471447885,0.666666666666667,14.4621163108524,0.250314059900166,1,20,12,0.8,10,32
53,INFEASIBLE,2,deadband,15.1891314887513,0.166666666666667,2.36314701455968,0.00845650767239792,1,20,12,0.8,10,32
53,INFEASIBLE,3,aero_mismatch,5.12239706336371,0,2.25270239890694,0.0167773618044,1,20,12,0.8,10,32
54,INFEASIBLE,1,backlash,92.5659028276587,0.5,9.50659193423546,0.243159779996303,2,60,8,0.533333333333333,10,16
54,INFEASIBLE,2,aero_mismatch,6.07636160678983,-0.166666666666667,1.42740558481933,0.00804145867997796,2,60,8,0.533333333333333,10,16
54,INFEASIBLE,3,sensor_noise,1.35773556555145,-0.5,-0.340575286774307,0.0227673784433352,2,60,8,0.533333333333333,10,16
55,INFEASIBLE,1,backlash,93.5669960323732,0.5,9.50659193423546,0.149565770012941,2,60,12,0.8,10,16
55,INFEASIBLE,2,aero_mismatch,5.98484013142535,-0.166666666666667,1.42740558481933,0.000831253466444859,2,60,12,0.8,10,16
55,INFEASIBLE,3,sensor_noise,0.448163836201458,-0.5,-0.340575286774307,0.00612844333518214,2,60,12,0.8,10,16
56,INFEASIBLE,1,backlash,96.9518015981043,1,47.173245935502,0.274156960621187,3,45,15,1,20,32
56,INFEASIBLE,2,aero_mismatch,3.04819840189568,0,3.76221365337472,0.0203817711222036,3,45,15,1,20,32
56,INFEASIBLE,3,deadband,0,0,-8.47935756507799,-0.0298135052689962,3,45,15,1,20,32
57,INFEASIBLE,1,backlash,60.9250027515937,0.5,5.44233080949823,0.257951331114809,1,45,10,0.666666666666667,10,32
57,INFEASIBLE,2,sensor_noise,18.5916816649689,0.333333333333333,-1.58079976831573,-0.00580999260491777,1,45,10,0.666666666666667,10,32
57,INFEASIBLE,3,aero_mismatch,11.187474750953,0.166666666666667,0.385978841844378,0.00651714734701425,1,45,10,0.666666666666667,10,32
58,INFEASIBLE,1,backlash,59.5574799112128,0.5,5.44233080949823,0.183353438713256,1,45,15,1,10,32
58,INFEASIBLE,2,sensor_noise,19.2592182316015,0.333333333333333,-1.58079976831573,0.0104129691255316,1,45,15,1,10,32
58,INFEASIBLE,3,aero_mismatch,11.778668933111,0.166666666666667,0.385978841844378,0.0165005084119061,1,45,15,1,10,32
59,INFEASIBLE,1,backlash,70.4892410979597,0.833333333333333,19.2883526285762,0.34682866518765,2,30,8,0.533333333333333,10,32
59,INFEASIBLE,2,aero_mismatch,15.3822190518394,0.166666666666667,6.15177172438302,0.0228794601589942,2,30,8,0.533333333333333,10,32
59,INFEASIBLE,3,deadband,11.0748663156199,0.166666666666667,2.87491834010027,0.00221713810316149,2,30,8,0.533333333333333,10,32
60,INFEASIBLE,1,backlash,70.1396543055057,0.833333333333333,19.2883526285762,0.300794278055093,2,30,12,0.8,10,32
60,INFEASIBLE,2,aero_mismatch,15.8394192510868,0.166666666666667,6.15177172438302,0.0334174523941579,2,30,12,0.8,10,32
60,INFEASIBLE,3,deadband,11.0911473598266,0.166666666666667,2.87491834010027,0.000275929007210296,2,30,12,0.8,10,32
61,INFEASIBLE,1,backlash,68.8673373917225,0.833333333333333,19.2883526285762,0.27139882603069,2,30,15,1,10,32
61,INFEASIBLE,2,aero_mismatch,16.6255934874261,0.166666666666667,6.15177172438302,0.0625355888334258,2,30,15,1,10,32
61,INFEASIBLE,3,deadband,11.5491869931427,0.166666666666667,2.87491834010027,0.0185787576261787,2,30,15,1,10,32
62,INFEASIBLE,1,backlash,93.6876260218054,0.833333333333333,55.2326540771469,0.26952879460159,4,90,10,0.666666666666667,10,16
62,INFEASIBLE,2,aero_mismatch,6.2047718925607,-0.166666666666667,9.50645375882711,0.0223245978924015,4,90,10,0.666666666666667,10,16
62,INFEASIBLE,3,deadband,0.107602085633852,-0.166666666666667,0.196118810215367,-0.0332781013126272,4,90,10,0.666666666666667,10,16
