rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kd,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,td_bin,lat_bin,Pi,Kp_ZN,Kp_cons,Kp_floor_theory,ZN_inside,cons_inside,ZN_above_floor,ZN_below_ceil
R5897,315.2321495692999,30.685848953832885,10.27288344029749,4,0.0070704676160204,2.7624625496912034,12.841104300371862,0.1768182886133738,65.30041073609758,-0.1965259023332283,1.0,7.737344415111075,105.13494375563756,13.587988089338308,1.0,False,False,td300+,lat4,490.97358326132616,57.0,47.5,7.364603748919892,True,True,True,True
R6078,176.22568703591975,26.96839792639544,6.534525614643132,1,0.0071827051236755,2.4663420286764577,8.168157018303916,0.2444672746609283,81.9489290830666,0.0509339342693805,1.0,1.8157718801053533,598.6649859805054,329.70275205813306,1.0,False,False,td120-180,lat1,26.96839792639544,228.0,190.0,1.6181038755837263,True,True,True,True
R6086,29.01144400492663,2.813746463031553,10.310610563564945,2,0.0423299210074177,1.5165004333573129,12.88826320445618,0.2084292345562174,62.78284732858889,-0.2557995599138922,1.0,1.016831587375873,105.13494375563756,103.39464770853374,1.0,False,False,td0-40,lat2-3,11.254985852126213,114.0,95.0,0.3376495755637864,False,True,True,False
R6119,306.4619145755263,28.763431212013614,10.6545673329657,5,0.0081017861082163,2.9670959047074086,13.318209166207124,0.0647846718425674,196.1723181119678,0.2422105477991411,1.0,18.463342031599996,58.87552997104207,3.1887796841046794,0.9333333333333332,False,False,td300+,lat5-6,719.0857803003404,45.6,38.0,8.629029363604083,True,True,True,True
R6149,320.7923763899348,30.72001518930482,10.442455005739015,2,0.0066349814000562,2.595202521339968,13.053068757173772,0.1117941541527001,113.72960891062225,0.0968313788685633,1.0,2.4264280325417045,598.6649859805054,246.72686679827,1.0,False,False,td300+,lat2-3,122.88006075721928,114.0,95.0,3.6864018227165785,True,True,True,True
R6154,95.75729056704832,8.93399741371011,10.718302920045536,5,0.0161689787248154,1.8392405386455528,13.39787865005692,0.3038005797636216,198.76337867888824,0.2757099063087235,1.0,1.8157718801053533,105.13494375563756,57.90096482248502,1.0,False,False,td80-120,lat5-6,223.34993534275273,45.6,38.0,2.680199224113033,True,True,True,True
R6425,165.3132216037203,32.11457571911433,5.14760721267531,4,0.0061147799213567,2.5003058568492955,6.434509015844137,0.1110601541115782,96.02328374016076,0.0532173318884408,1.0,7.737344415111075,105.13494375563756,13.587988089338308,1.0,False,False,td120-180,lat4,513.8332115058292,57.0,47.5,7.707498172587439,True,True,True,True
R6456,158.1111665888195,25.57715896270712,6.18173296023042,5,0.0078980772646722,2.5720760133231835,7.727166200288025,0.1691389981428345,184.8373708544493,-0.0863114974672549,1.0,7.737344415111075,105.13494375563756,13.587988089338308,1.0,False,False,td120-180,lat5-6,639.428974067678,45.6,38.0,7.6731476888121355,True,True,True,True
R6700,11.846140749512378,4.184945615799983,2.8306558404936166,4,0.0521486468233133,2.77870844450508,3.5383198006170207,0.382394659505358,185.1499678695528,-0.1423240829213274,1.0,1.3587988089338316,140.49252415648894,103.39464770853388,1.0,False,False,td0-40,lat4,66.95912985279973,57.0,47.5,1.004386947791996,True,True,True,True
R6715,48.29665251150916,6.368597687972353,7.583561543339684,4,0.0186259652087712,1.5103330322508768,9.479451929174605,0.1565096196697324,175.6459171433971,0.0557418723216434,1.0,0.760926835001139,335.2521727374652,440.5839790588584,1.0,False,False,td40-80,lat4,101.89756300755765,57.0,47.5,1.5284634451133647,True,True,True,True
R6774,3.238292530134727,1.5471422690416885,2.093079993309568,2,0.0741851896084873,1.4613612296172562,2.61634999163696,0.2942316674040663,146.44595573192672,0.2078756508013179,1.0,0.3188779684104678,447.9997067987973,1404.9252415648882,1.0,False,False,td0-40,lat2-3,6.188569076166754,114.0,95.0,0.1856570722850026,True,True,True,True
R6883,83.51678144660303,8.18587443372066,10.202548563726603,1,0.0277624955212024,2.8935680384102302,12.753185704658254,0.0972353210519275,96.14191164406908,-0.1805116889023498,1.0,1.016831587375873,250.87967161476035,246.7268667982698,1.0,False,False,td80-120,lat1,8.18587443372066,228.0,190.0,0.49115246602323953,True,True,True,True
R7019,37.6174464367618,8.962559787785517,4.197176624475984,2,0.0113430894569857,1.2944150136112271,5.246470780594979,0.4132150064769752,149.83670231230496,0.0747615278584367,1.0,1.3587988089338316,447.9997067987973,329.70275205813283,1.0,False,False,td0-40,lat2-3,35.85023915114207,114.0,95.0,1.0755071745342621,True,True,True,True
R7102,357.6212631786032,43.259635473998415,8.266857990367361,2,0.0051731042172183,2.849339521470498,10.333572487959202,0.067671781560746,122.22496779508376,-0.18083507320683,1.0,5.790096482248505,598.6649859805054,103.39464770853388,1.0,False,False,td300+,lat2-3,173.03854189599366,114.0,95.0,5.191156256879809,True,True,True,True
R7136,82.38204724246627,15.742776509062583,5.233006210501795,1,0.0121973904502786,2.444884655979772,6.541257763127243,0.2655432706705398,68.44909015397823,-0.2001043709222532,1.0,1.3587988089338316,335.2521727374652,246.72686679826984,1.0,False,False,td80-120,lat1,15.742776509062583,228.0,190.0,0.9445665905437549,True,True,True,True
R7309,354.80018580132094,37.37955890267901,9.491823772588504,2,0.005514826592602,2.624678730651812,11.864779715735631,0.2193448610324391,124.68150549023684,-0.0401418482325448,1.0,5.790096482248505,447.9997067987973,77.37344415111072,1.0,False,False,td300+,lat2-3,149.51823561071603,114.0,95.0,4.48554706832148,True,True,True,True
R7647,312.2013410155477,35.39950437348753,8.819370399133922,2,0.0058954457115011,2.6571981699724434,11.0242129989174,0.3407179348361935,135.6319328210014,-0.1114034032552787,1.0,4.332910036713837,598.6649859805054,138.16695498126347,1.0,False,False,td300+,lat2-3,141.59801749395012,114.0,95.0,4.247940524818503,True,True,True,True
R7720,44.65097159509918,6.462201326800688,6.909560587337043,4,0.0144776090129704,1.1912075751210356,8.636950734171304,0.2092969703402914,76.87848285364296,-0.2830743116229676,1.0,1.016831587375873,140.49252415648894,138.16695498126344,1.0,False,False,td40-80,lat4,103.39522122881101,57.0,47.5,1.5509283184321652,True,True,True,True
R7735,63.824626888884126,11.723609831956248,5.444110457762829,4,0.0164489306443729,2.455325897292058,6.805138072203535,0.1579723084668781,176.1870662491146,0.1712116812872795,1.0,1.8157718801053533,250.87967161476035,138.1669549812634,1.0,False,False,td40-80,lat4,187.57775731129996,57.0,47.5,2.8136663596694995,True,True,True,True
R7792,150.8097630034608,14.390161265655516,10.48006066223824,3,0.0109951983374505,2.0145536951518563,13.1000758277978,0.3654778724943918,143.06058319879142,-0.000160748093797,1.0,4.332910036713837,335.2521727374652,77.37344415111072,1.0,False,False,td120-180,lat2-3,129.51145139089965,76.0,63.333333333333336,2.5902290278179927,True,True,True,True
R7835,200.8185421099314,31.818395807032903,6.311397448439055,4,0.0054019814834149,2.188474496019152,7.889246810548819,0.2063916240378428,117.25562563318805,0.0367573867357486,1.0,10.33946477085338,105.13494375563756,10.168315873758727,0.9333333333333332,False,False,td180-300,lat4,509.09433291252645,57.0,47.5,7.636414993687897,True,True,True,True
R7900,64.75046905503515,6.801190570243423,9.520460923170052,2,0.0313412317603614,2.7140080005574947,11.900576153962566,0.0699161228528796,133.47060904910097,0.1116383712408315,1.0,0.4261187487198085,447.9997067987973,1051.3494375563755,1.0,False,False,td40-80,lat2-3,27.204762280973693,114.0,95.0,0.8161428684292108,True,True,True,True
R8015,114.73222806082195,12.149701351540616,9.443213848731649,5,0.0135779212073129,2.1004338351135328,11.804017310914558,0.1630853245819284,194.50365947249932,0.243087921415773,1.0,2.4264280325417045,78.67576203691237,32.42451907980095,1.0,False,False,td80-120,lat5-6,303.7425337885154,45.6,38.0,3.6449104054621846,True,True,True,True
R8162,132.3720810666522,16.237805571512183,8.15209176410435,6,0.0061335152988483,1.268080745971838,10.19011470513044,0.2140107753446296,62.29704778170843,0.261640830612637,1.0,4.332910036713837,58.87552997104207,13.587988089338316,0.9333333333333332,False,False,td120-180,lat5-6,584.5610005744386,38.0,31.666666666666668,5.845610005744386,True,True,True,True
