method,p_unstable,gust_std,Kp,Kd,seed,theta0_deg,success,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,control_rms,cmd_deg,slew_code,u_max_code,servo_deadband
BENCH_TUNED_PCH,0,1.5,45,8,205,3,1,1.29814623596755,3.41883169698147,2.21303841100499,20.2092249455497,0,0.0416666666666667,0.638798426293802,20,60,12,0.05
BENCH_TUNED_PCH,0,1.5,45,8,206,3,1,1.18869764142613,2.71578269531987,2.15477297677301,21.5328490697368,0,0.0333333333333333,0.581655184141823,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,101,0,1,0.725358649348261,1.99838723352308,0.395576694004224,21.6744537691461,0,0.0180555555555556,0.789512293274688,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,102,0,1,0.708247708182049,1.81944356292371,0.403693651212118,21.7484404842729,0,0.0180555555555556,0.796539344133583,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,103,0,1,0.804857142605599,1.90372534063544,1.52848809032627,21.4868132815433,0,0.0166666666666667,0.777908350033215,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,104,0,1,1.0824100340242,2.37987945255625,0.42339016563578,22.2982018044253,0,0.0194444444444444,0.783470114138104,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,105,0,1,0.876736599472454,2.02819407224394,0.0528017558098562,22.0020541785053,0,0.0166666666666667,0.787271675015304,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,106,0,1,0.878947784039213,1.96579706952008,1.59220892964107,21.6013248207822,0,0.0166666666666667,0.778773382080364,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,201,3,1,0.835138954396358,2.38611608040077,0.0692239425494557,21.8121970506754,0,0.0208333333333333,0.779908816533199,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,202,3,1,0.918055989809127,2.80676179770569,0.548994193735989,21.7735876333623,0,0.0180555555555556,0.774122023384895,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,203,3,1,0.879941482455869,3.64224363451644,0.155188118728043,21.6034170020066,0,0.0152777777777778,0.815396889927304,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,204,3,1,1.30715129756722,3.78467835417692,1.50178104287157,21.911329902535,0,0.0208333333333333,0.79489831614695,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,205,3,1,1.20716977290815,3.41883169698147,2.38661123786394,21.3167499599284,0,0.0180555555555556,0.78882471209592,20,60,12,0.05
AMATEUR_BASIC_PID,4,0.3,45,8,206,3,1,1.72413558905547,3.04654023578839,2.31670651107358,22.4236212129851,0,0.0180555555555556,0.814715348196646,20,60,12,0.05
BENCH_TUNED_PID,4,0.3,45,8,101,0,1,0.725358649348261,1.99838723352308,0.395576694004224,21.6744537691461,0,0.0180555555555556,0.789512293274688,20,60,12,0.05
BENCH_TUNED_PID,4,0.3,45,8,102,0,1,0.708247708182049,1.81944356292371,0.403693651212118,21.7484404842729,0,0.0180555555555556,0.796539344133583,20,60,12,0.05
BENCH_TUNED_PID,4,0.3,45,8,103,0,1,0.804857142605599,1.90372534063544,1.52848809032627,21.4868132815433,0,0.0166666666666667,0.777908350033215,20,60,12,0.05
BENCH_TUNED_PID,4,0.3,45,8,104,0,1,1.0824100340242,2.37987945255625,0.42339016563578,22.2982018044253,0,0.0194444444444444,0.783470114138104,20,60,12,0.05
BENCH_TUNED_PID,4,0.3,45,8,105,0,1,0.876736599472454,2.02819407224394,0.0528017558098562,22.0020541785053,0,0.0166666666666667,0.787271675015304,20,60,12,0.05
