step,metric,metric_val,success,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,deadband,backlash,wind_strength,latency_steps,rocket_id,design_id,regime_label
4,rms_error_deg,13.755206232328925,0,1.3997192666538447,0.014041925810428287,0.18854933501912682,-68.22915832090702,7.323593628233075,27.421128783335742,99.45509171025462,13.615652677445347,0.028501555996623264,0.02347551627270556,0.17591771518368673,3,R0793,793,FRAGILE
5,rms_error_deg,7.3520788566787,0,1.4078246210314826,0.01396436160448177,0.18571668061624516,-68.13550149853407,7.282130225313579,27.67409119319939,100.40296870482993,13.649362382587773,0.03128071738832409,0.019366891535538378,0.1799869740160903,4,R0793,793,FRAGILE
0,rms_error_deg,14.1322008545401,1,1.183115434971679,0.0219909853113209,0.0909491411781902,-30.53791622278063,13.078127541380494,39.63275975294118,78.4140180348214,13.229519170081725,0.1078032811643809,0.1355189663086831,0.4493057179848324,3,R0794,794,FRAGILE
1,rms_error_deg,12.69527065538898,0,1.2011113950150984,0.02171353948924855,0.08945614317635722,-30.0,13.165249119768184,39.78363688725334,78.82536585334007,13.126811868192943,0.1078032811643809,0.13159597739608148,0.4481671927888139,3,R0794,794,FRAGILE
2,rms_error_deg,13.236365177741238,1,1.2103789125548705,0.021828737358860296,0.08769657796918881,-30.0,13.187458817112182,39.19396008762882,79.73760874722225,12.99320485456855,0.1078032811643809,0.12876872919949697,0.44546094700772393,2,R0794,794,FRAGILE
3,rms_error_deg,11.115631131731606,1,1.2146903194302596,0.021909763831037033,0.08798392510524619,-30.55315901742358,13.292309704293334,39.205720968812905,82.72681512462083,12.944084102083522,0.1078032811643809,0.12460120851783704,0.45,1,R0794,794,FRAGILE
4,rms_error_deg,11.06149559158416,0,1.2238385993417917,0.022196480370381723,0.08825377957815984,-30.10652134255265,13.230381092626926,39.16949418142216,84.67583999466513,12.95412415107808,0.10835681063798591,0.11786494945786445,0.45,2,R0794,794,FRAGILE
5,rms_error_deg,9.99790489084324,0,1.2328293256375846,0.021811060615483997,0.09035224379189666,-30.0,13.311832525729447,39.23915535721184,86.08237186786936,12.918085419355315,0.10835681063798591,0.11497228562769991,0.4458360003265688,2,R0794,794,FRAGILE
0,rms_error_deg,10.275104093537113,1,1.7361841394068835,0.0147434420705708,0.1929097526059722,-40.85463462922101,8.172782715998187,25.63554558973167,107.173557018976,11.661263332175473,0.032595521721631,0.2381859417161592,0.4269704626687484,3,R0795,795,FRAGILE
1,rms_error_deg,18.89967458108332,0,1.7495124176763948,0.015055325742638565,0.19012901208997696,-40.74074485887313,8.18188683980919,25.79408447541427,109.14782531173157,11.623219741734449,0.032595521721631,0.23989738087175708,0.41802259495789856,4,R0795,795,FRAGILE
