keff_target,wind_strength,Kp,sr,rms
8.0,0.3,20,0.875,7.239692696264141
8.0,0.3,40,0.75,5.67790209714663
8.0,0.3,80,0.875,4.895725889953929
8.0,0.3,160,1.0,3.356707760776258
8.0,0.35,1,0.625,8.35534949023749
8.0,0.35,2,0.25,20.896093599503644
8.0,0.35,5,0.125,15.478705635110455
8.0,0.35,10,0.625,10.361156463131014
8.0,0.35,20,0.75,5.9802297883402815
8.0,0.35,40,0.625,6.856309992965929
8.0,0.35,80,0.875,4.250809207114978
8.0,0.35,160,1.0,2.615241940029653
8.0,0.4,1,0.5,7.772180289915823
8.0,0.4,2,0.125,15.976535558785342
8.0,0.4,5,0.125,16.438756056339134
8.0,0.4,10,0.75,8.570577783374606
8.0,0.4,20,0.75,8.132967100572694
8.0,0.4,40,1.0,6.394442662745101
8.0,0.4,80,1.0,4.22450934820229
8.0,0.4,160,1.0,2.546570240558196
14.0,0.0,1,0.375,23.44318102935162
14.0,0.0,2,0.375,16.888721847213723
14.0,0.0,5,0.25,13.51299292137035
14.0,0.0,10,0.25,15.730495605728917
14.0,0.0,20,0.875,6.79428440100905
14.0,0.0,40,0.75,7.64222429564898
14.0,0.0,80,1.0,5.847725296089935
14.0,0.0,160,1.0,4.618277536685651
14.0,0.05,1,0.125,26.299372706616573
14.0,0.05,2,0.125,26.588790961844747
14.0,0.05,5,0.125,26.45546039718984
14.0,0.05,10,0.25,15.531141657163921
14.0,0.05,20,0.25,13.025901431101394
14.0,0.05,40,0.75,8.063122066141544
14.0,0.05,80,0.875,6.131415014880845
14.0,0.05,160,1.0,4.169396560350376
14.0,0.1,1,0.125,15.586244398824789
14.0,0.1,2,0.0,32.14221079298613
14.0,0.1,5,0.0,24.611937171884087
14.0,0.1,10,0.125,19.533964141048074
14.0,0.1,20,0.25,10.728110140295113
14.0,0.1,40,0.875,7.029008195009377
14.0,0.1,80,0.75,6.836574699288687
14.0,0.1,160,1.0,4.333778300331691
14.0,0.15,1,0.25,20.675665088324653
14.0,0.15,2,0.125,23.565730702896104
14.0,0.15,5,0.0,17.768917435990055
14.0,0.15,10,0.5,13.243570090257474
14.0,0.15,20,0.5,11.325266830380357
14.0,0.15,40,0.875,7.851196773128131
14.0,0.15,80,1.0,4.386083918530602
14.0,0.15,160,1.0,4.850820149962038
14.0,0.2,1,0.5,19.541063136507844
14.0,0.2,2,0.125,25.266995916571375
14.0,0.2,5,0.125,24.694518753978098
14.0,0.2,10,0.25,15.957412856794432
14.0,0.2,20,0.625,12.46885089559827
14.0,0.2,40,1.0,7.051467377813607
14.0,0.2,80,1.0,6.063987367298341
14.0,0.2,160,1.0,4.619315622726997
14.0,0.25,1,0.25,22.169648360644977
14.0,0.25,2,0.375,20.301805781098686
