rocket_id,regime,sr_adrc,sr_pid_best,sr_kp2
R0443,EASY,1.0,1.0,0.6666666666666666
R0444,EASY,1.0,0.3333333333333333,0.3333333333333333
R0445,EASY,1.0,1.0,0.6666666666666666
R0446,EASY,1.0,0.0,0.6666666666666666
R0447,EASY,1.0,0.0,0.6666666666666666
R0448,EASY,1.0,0.0,0.6666666666666666
R0449,EASY,1.0,0.0,0.6666666666666666
R0450,EASY,1.0,0.0,0.6666666666666666
R0451,EASY,1.0,0.6666666666666666,0.6666666666666666
R0452,EASY,1.0,0.3333333333333333,0.0
R0453,EASY,1.0,0.0,0.6666666666666666
R0454,EASY,1.0,1.0,1.0
R0455,EASY,1.0,0.6666666666666666,0.6666666666666666
R0456,EASY,1.0,0.0,0.6666666666666666
R0457,EASY,1.0,0.0,0.3333333333333333
R0458,EASY,1.0,1.0,1.0
R0459,EASY,1.0,1.0,1.0
R0460,EASY,1.0,0.0,1.0
R0461,EASY,1.0,1.0,0.3333333333333333
R0462,EASY,1.0,0.0,0.3333333333333333
R0463,EASY,1.0,0.0,0.6666666666666666
R0464,EASY,1.0,0.0,0.6666666666666666
R0465,EASY,1.0,1.0,1.0
R0466,EASY,1.0,0.0,0.6666666666666666
R0467,EASY,1.0,0.3333333333333333,1.0
R0468,EASY,1.0,1.0,1.0
R0469,EASY,1.0,1.0,0.6666666666666666
R0470,EASY,1.0,0.6666666666666666,0.6666666666666666
R0471,EASY,1.0,0.6666666666666666,1.0
R0472,EASY,1.0,1.0,0.6666666666666666
R0473,EASY,1.0,0.0,0.6666666666666666
R0474,EASY,1.0,0.0,0.6666666666666666
R0475,EASY,1.0,0.0,0.3333333333333333
R0476,EASY,1.0,1.0,0.3333333333333333
R0477,EASY,1.0,0.0,0.6666666666666666
R0478,EASY,1.0,0.0,0.3333333333333333
R0479,EASY,1.0,0.0,0.6666666666666666
R0480,EASY,1.0,0.0,0.3333333333333333
R0481,EASY,1.0,0.0,1.0
R0482,EASY,1.0,1.0,1.0
R0483,EASY,1.0,1.0,0.3333333333333333
R0484,EASY,1.0,0.0,1.0
R0485,EASY,1.0,1.0,0.6666666666666666
R0486,EASY,1.0,0.6666666666666666,0.6666666666666666
R0487,EASY,1.0,0.0,1.0
R0488,EASY,1.0,0.0,1.0
R0489,EASY,1.0,1.0,0.3333333333333333
R0490,EASY,1.0,1.0,1.0
R0491,FRAGILE,1.0,0.3333333333333333,0.6666666666666666
R0492,EASY,1.0,1.0,1.0
R0493,EASY,1.0,0.3333333333333333,1.0
R0494,EASY,1.0,0.0,0.3333333333333333
R0495,EASY,1.0,0.0,0.3333333333333333
R0496,EASY,1.0,0.0,0.6666666666666666
R0497,EASY,1.0,0.0,1.0
R0498,EASY,1.0,0.0,0.3333333333333333
R0499,EASY,1.0,0.0,1.0
R0500,EASY,1.0,0.6666666666666666,0.6666666666666666
R0501,EASY,1.0,0.0,0.6666666666666666
R0502,EASY,1.0,0.6666666666666666,0.6666666666666666
R0503,FRAGILE,1.0,0.3333333333333333,0.6666666666666666
R0504,FRAGILE,1.0,0.0,0.3333333333333333
R0505,EASY,1.0,0.0,0.6666666666666666
R0506,EASY,1.0,1.0,0.6666666666666666
R0507,EASY,1.0,1.0,1.0
R0508,EASY,1.0,0.0,0.6666666666666666
R0509,EASY,1.0,1.0,1.0
R0510,EASY,1.0,0.3333333333333333,1.0
R0511,EASY,1.0,0.3333333333333333,0.3333333333333333
R0512,EASY,1.0,0.0,0.3333333333333333
R0513,EASY,1.0,0.0,0.6666666666666666
R0514,EASY,1.0,0.6666666666666666,0.6666666666666666
R0515,EASY,1.0,0.0,0.6666666666666666
R0516,EASY,1.0,0.0,0.6666666666666666
R0517,EASY,1.0,0.6666666666666666,0.3333333333333333
R0518,EASY,1.0,0.0,0.3333333333333333
R0519,EASY,1.0,0.3333333333333333,0.3333333333333333
R0520,EASY,1.0,1.0,0.6666666666666666
R0521,EASY,1.0,0.0,0.6666666666666666
R0522,EASY,1.0,1.0,0.6666666666666666
R0523,FRAGILE,1.0,0.0,0.3333333333333333
R0524,EASY,1.0,0.0,0.3333333333333333
R0525,EASY,1.0,0.0,1.0
R0526,EASY,1.0,1.0,1.0
R0527,EASY,1.0,0.3333333333333333,0.6666666666666666
R0528,EASY,1.0,0.0,0.3333333333333333
R0529,EASY,1.0,1.0,1.0
R0530,EASY,1.0,0.0,1.0
R0531,EASY,1.0,0.0,1.0
R0532,EASY,1.0,1.0,1.0
R0533,EASY,1.0,0.6666666666666666,0.3333333333333333
R0534,EASY,1.0,0.0,0.6666666666666666
R0535,EASY,1.0,0.0,1.0
R0536,EASY,1.0,1.0,1.0
R0537,EASY,1.0,0.0,0.6666666666666666
R0538,EASY,1.0,0.0,0.6666666666666666
R0539,EASY,1.0,0.6666666666666666,1.0
R0540,EASY,1.0,0.0,0.6666666666666666
R0541,EASY,1.0,1.0,1.0
R0542,EASY,1.0,0.0,0.3333333333333333
R0543,EASY,1.0,0.0,1.0
