scenario_idx,ctrl_idx,disturb_amp,seed,rms_post_deg,peak_post_deg
2,3,2,3,1.96050055243834,3.02884913656931
2,3,2,4,2.20522197686586,3.58408477454848
2,3,2,5,3.31453530980146,6.95858160186007
2,3,2,6,3.42963346065949,6.27465755628543
2,3,2,7,3.98727620640339,7.07294071530826
2,3,2,8,3.29502156586183,6.0510582700931
2,3,2.5,1,7.71389019504552,13.0064147365406
2,3,2.5,2,2.55396961402431,4.23031677230488
2,3,2.5,3,2.46603623142915,3.74846903907781
2,3,2.5,4,2.71997851956715,4.39651371846574
2,3,2.5,5,3.69734251198854,7.68379234335834
2,3,2.5,6,3.80779332028224,7.00013902753396
2,3,2.5,7,4.35376167286511,7.79430257028672
2,3,2.5,8,3.57991443464457,6.76315814810715
2,3,3,1,7.97925618147697,13.6788263207888
2,3,3,2,3.0723695297521,5.03064919512494
2,3,3,3,2.97817591839523,4.46642241286312
2,3,3,4,3.23488389055267,5.20336037166459
2,3,3,5,4.11155664402877,8.41229547407453
2,3,3,6,4.2138049265528,7.71763199611804
2,3,3,7,4.74829124925002,8.50667692672279
2,3,3,8,3.91108910735127,7.49837064697274
2,3,3.5,1,8.2720452238242,14.392614175706
2,3,3.5,2,3.59306534342274,5.86566864174115
2,3,3.5,3,3.49259862207214,5.19952933674558
2,3,3.5,4,3.75494943943411,6.03064910053998
2,3,3.5,5,4.55001266928309,9.14972241170648
2,3,3.5,6,4.64878843033383,8.448738249701
2,3,3.5,7,5.16991820428415,9.23894790811807
2,3,3.5,8,4.29019803736883,8.21876544377943
2,3,4,1,8.5886907590389,15.1239178405085
2,3,4,2,4.12389077758377,6.82450530340874
2,3,4,3,4.01403896132665,5.91781140021851
2,3,4,4,5.59715462843171,14.762572336019
2,3,4,5,5.00518943098796,9.87158064085477
2,3,4,6,26.1175456019662,57.2176058691804
2,3,4,7,5.6130120392286,9.97284316472671
2,3,4,8,5.80418079488038,14.855754037257
2,4,0.5,1,6.91423519732431,10.2418375184844
2,4,0.5,2,0.571230476288567,1.15121813665734
2,4,0.5,3,0.62033481238976,1.35096780556034
2,4,0.5,4,0.67294322744168,1.29892627304555
2,4,0.5,5,2.47523281408061,4.70946916020103
2,4,0.5,6,2.58606738257768,3.93572551008332
2,4,0.5,7,3.11439588660314,4.77189142324837
2,4,0.5,8,2.89597869238067,4.36465555697104
2,4,1,1,6.95781244562774,10.4089874849543
2,4,1,2,0.847686745290153,1.75550156217929
2,4,1,3,0.841569653476748,1.4804205553233
2,4,1,4,0.886382227494814,1.83470040526574
2,4,1,5,2.60021672065319,5.11746773344384
2,4,1,6,2.67741656250793,4.21395415279223
2,4,1,7,3.2143575336144,5.08282345484724
2,4,1,8,2.94256633919421,4.12296913597568
2,4,1.5,1,6.95871526626297,10.3929170656027
2,4,1.5,2,1.00690127319907,2.44941534116563
2,4,1.5,3,0.979022056071357,1.76134946967722
2,4,1.5,4,0.994797475912168,2.47763204109616
2,4,1.5,5,2.67903864956954,5.21754679560593
2,4,1.5,6,2.72061481757027,4.2458209027165
2,4,1.5,7,3.24843005039443,5.13170440503289
2,4,1.5,8,3.01126690140244,4.25898633380162
2,4,2,1,6.94375653048328,10.298593852171
2,4,2,2,1.07205722585955,3.0705730469348
2,4,2,3,1.02531516079276,2.1500287622325
2,4,2,4,1.03814041772741,3.03366735043264
2,4,2,5,2.69768504921223,5.13985517482876
2,4,2,6,2.74154188562965,4.16806540656063
2,4,2,7,3.2485484415314,5.11564048290932
2,4,2,8,3.05948172303781,4.41340154275208
2,4,2.5,1,6.92308535803002,10.2861650129966
2,4,2.5,2,1.09358777778549,3.59518221602833
2,4,2.5,3,1.03557359235842,2.62868131658496
2,4,2.5,4,1.05656419947896,3.50247518655589
2,4,2.5,5,2.70727623772551,5.02696793134646
2,4,2.5,6,119.242311056737,438.40626303742
2,4,2.5,7,3.25275827181489,5.04727312087128
2,4,2.5,8,3.06340004982576,4.90019519305349
2,4,3,1,6.94574983684178,10.4311884054046
2,4,3,2,125.574815276989,292.698112381408
2,4,3,3,127.314758931563,439.904282774812
2,4,3,4,1.24139696810819,4.13330896076147
2,4,3,5,76.2701685545469,194.386225218829
2,4,3,6,298.388171419509,644.099066808947
2,4,3,7,198.30358806705,451.146041717093
2,4,3,8,160.160434441022,400.337036945245
2,4,3.5,1,122.387919534017,294.09339292155
2,4,3.5,2,350.956707796363,817.062416717554
2,4,3.5,3,140.296207649183,336.134689546337
2,4,3.5,4,358.051073023134,867.9222443221
2,4,3.5,5,344.185017120754,782.743196281525
2,4,3.5,6,275.952259958724,726.996045068981
2,4,3.5,7,352.518111801691,912.463367802172
2,4,3.5,8,334.017377511943,974.06189127498
2,4,4,1,355.797749318179,984.074353879922
