gust_idx,amp_idx,seed,disturb_amp,gust_std,pass,cause_code,rms_post_deg,peak_post_deg,false_sat,late_detection,conf_collapse,authority_exhaust,shield_dominated
3,6,9,3.5,0.3,1,0,3.02485735658908,7.919789826377,0,0,0,0,0
3,6,10,3.5,0.3,1,0,4.64847734438717,12.8573821455503,0,0,0,0,0
3,7,1,4,0.3,1,0,8.07029752955723,16.7085461479391,1,0,0,0,0
3,7,2,4,0.3,1,0,2.96885932138903,7.63254677900953,1,0,0,0,0
3,7,3,4,0.3,1,0,2.92830140074304,8.41049479068213,1,0,0,0,0
3,7,4,4,0.3,1,0,3.09883695618863,7.44725992076989,0,0,0,0,0
3,7,5,4,0.3,1,0,3.54385459948905,7.56257440894844,0,0,0,0,0
3,7,6,4,0.3,1,0,4.04214647527779,9.96217763762767,1,0,0,0,0
3,7,7,4,0.3,1,0,4.3211380834488,9.50554826615184,0,0,0,0,0
3,7,8,4,0.3,1,0,6.73079324026351,21.9557627280337,1,0,0,0,0
3,7,9,4,0.3,1,0,3.43440291549043,8.88686800469553,1,0,0,0,0
3,7,10,4,0.3,1,0,4.32562624778861,11.7192716666468,1,0,0,0,0
3,8,1,4.5,0.3,1,0,7.86510639993109,16.0347022527448,1,0,0,0,0
3,8,2,4.5,0.3,0,1,2556.24230629426,3705.74162436331,1,0,0,1,0
3,8,3,4.5,0.3,0,1,2023.14688087995,3866.81945901674,1,0,0,1,0
3,8,4,4.5,0.3,0,1,122.563889665131,411.124244348164,1,0,0,1,0
3,8,5,4.5,0.3,1,0,3.74867240672397,8.13964349491536,1,0,0,0,0
3,8,6,4.5,0.3,1,0,3.6851329593486,7.75182912876828,1,0,0,0,0
3,8,7,4.5,0.3,1,0,4.48147207198384,10.2649360085692,1,0,0,0,0
3,8,8,4.5,0.3,1,0,4.16107775230372,10.2843070240494,1,0,0,0,0
3,8,9,4.5,0.3,1,0,3.79504029378447,10.0297777087836,1,0,0,0,0
3,8,10,4.5,0.3,0,1,123.7293441391,287.002041367911,1,0,0,1,0
3,9,1,5,0.3,1,0,8.17966742721298,16.384016430479,1,0,0,0,0
3,9,2,5,0.3,0,1,2196.85484809473,3442.39149920178,1,0,0,1,0
3,9,3,5,0.3,1,0,3.36390019123512,7.8229157537762,1,0,0,0,0
3,9,4,5,0.3,1,0,3.51097748199529,8.27530094689386,1,0,0,0,0
3,9,5,5,0.3,1,0,5.45794942435258,16.6145578605085,1,0,0,0,0
3,9,6,5,0.3,1,0,4.53326673962979,10.0301902658643,1,0,0,0,0
3,9,7,5,0.3,1,0,4.7931015639364,11.4561785517273,1,0,0,0,0
3,9,8,5,0.3,1,0,4.7166492142492,10.671880237255,1,0,0,0,0
3,9,9,5,0.3,1,0,4.33709016276029,12.6844667908372,1,0,0,0,0
