case_id,regime_id,regime_name,rate_center_deg_s,tau_actuator_ms,tau_sensor_ms,processing_delay_ms,aero_scale,thrust_scale,rms_theta_residual_deg,rms_rate_residual_deg_s,phase_lag_divergence_ms,aero_only_residual_deg,delay_only_residual_deg,actuator_only_residual_deg,sensor_only_residual_deg,processing_only_residual_deg,unstable_truth,delay_perturbed,aero_perturbed,comparison_valid,effect_margin_deg,effect_ratio,unstable_pred_nominal,stability_mismatch,dominant_source,control_limitation_regime,cp_ahead_share_truth,mean_static_margin_cal_truth,mean_abs_alpha_deg_truth,aero_model_required
25,2,MID_RATE,130,8,3,1,0.85,1.1,0.534475343606147,8.80814364624806,16,0.534475343606147,0.021905680301343,NaN,NaN,NaN,0,0,1,0,-0.512569663304804,0.0409853898096472,0,0,UNMATCHED,UNMATCHED,0,0.400000000000004,95.9725629500394,0
25,3,HIGH_RATE,250,8,3,1,0.85,1.1,2.69755102998687,29.0179688912195,36,2.69755102998687,0.123232135517489,NaN,NaN,NaN,0,0,1,0,-2.57431889446938,0.0456829673090888,0,0,UNMATCHED,UNMATCHED,0,0.400000000000004,101.45364980714,0
26,1,LOW_RATE,40,25,3,1,0.85,1.1,0.605591255821442,12.8590780963473,6,0.0940978106006958,0.694490901370678,NaN,NaN,NaN,0,1,1,1,0.600393090769982,7.38052136322014,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,92.2402272306937,0
26,2,MID_RATE,130,25,3,1,0.85,1.1,1.75198107362598,26.1196968583821,12,0.534475343606147,2.25976096169069,NaN,NaN,NaN,0,1,1,1,1.72528561808455,4.22799851990161,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,95.8679775666372,0
26,3,HIGH_RATE,250,25,3,1,0.85,1.1,5.25027413058043,52.8357298570724,12,2.69755102998687,7.27527803037932,NaN,NaN,NaN,0,1,1,1,4.57772700039245,2.69699366184547,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,101.582824182035,0
27,1,LOW_RATE,40,8,15,1,0.85,1.1,0.357688437958927,7.09018219415513,8,0.0940978106006958,0.37947105940629,NaN,NaN,NaN,0,1,1,1,0.285373248805594,4.03272995390484,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,92.1479532243488,0
27,2,MID_RATE,130,8,15,1,0.85,1.1,0.924566772004382,12.923064861633,14,0.534475343606147,1.05997490679536,NaN,NaN,NaN,0,1,1,1,0.525499563189216,1.98320637139897,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,0.400000000000004,95.5614145780553,0
27,3,HIGH_RATE,250,8,15,1,0.85,1.1,3.166557460009,29.5606524193348,24,2.69755102998687,3.72650500877764,NaN,NaN,NaN,0,1,1,1,1.02895397879077,1.38144004222814,0,0,DELAY,MIXED_INTERACTION_LIMITED,0,0.400000000000004,101.072131467242,0
28,1,LOW_RATE,40,25,15,1,0.85,1.1,3.01491342564154,53.6139183626035,428,0.0940978106006958,2.94640390252608,NaN,NaN,NaN,0,1,1,1,2.85230609192539,31.3121408852875,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,91.9958990315621,0
28,2,MID_RATE,130,25,15,1,0.85,1.1,5.66009035861381,72.3064440701276,600,0.534475343606147,6.00108561727873,NaN,NaN,NaN,0,1,1,1,5.46661027367259,11.2279933753145,0,0,DELAY,DELAY_LIMITED,0,0.400000000000004,95.5805001208645,0
